FieldStrength	Nucleus	Tissue	Group	Label	ppm	ppmtol	linewidth_min	linewidth_max	phase_tol	yoke_group	yoke_amp
7T	1H	brain	Unknown	10.9ppm	10.9	0.08	10	130	100	none	0
7T	1H	brain	Unknown	10.3ppm	10.3	0.08	10	130	100	none	0
7T	1H	brain	TRYP	TRYP	10.1	0.14	10	120	100	none	0
7T	1H	brain	NR/NMN	NR/NMN	9.75	0.1	10	120	100	none	0
7T	1H	brain	NAD+	NAD+ H2	9.35	0.09	10	90	100	NAD+	1
7T	1H	brain	NAD+	NAD+ H6	9.172	0.09	10	90	100	NAD+	1
7T	1H	brain	NAD+	NAD+ H4	8.84	0.09	10	90	100	NAD+	1
7T	1H	brain	ATP/NAA	ATP2	8.44	0.1	15	90	100	none	0
7T	1H	brain	ATP/NAA	ATP1	8.176	0.1	15	90	100	none	0
7T	1H	brain	ATP/NAA	NAA	7.86	0.1	15	90	100	none	0
7T	1H	brain	HCarn8	HCarn8	8.01	0.05	10	90	180	none	0
7T	1H	brain	NAAdf	NAAdf	7.82	0.08	15	90	180	none	0
7T	1H	brain	HCarn7	HCarn7	7.06	0.05	10	90	180	none	0
7T	1H	brain	Water	Water	4.7	0.8	5	90	180	none	0
7T	1H	brain	Cho	Cho	3.24	0.08	5	45	180	none	0
7T	1H	brain	Cr	Cre	3.02	0.1	5	45	180	none	0
7T	1H	brain	GABA_d	GABA1	3.06	0.03	5	90	180	none	0
7T	1H	brain	GABA_d	GABA2	3.1	0.03	5	90	180	none	0
7T	1H	brain	GABA_s	GABA	3	0.03	5	90	180	none	0
7T	1H	brain	NAA	NAA	2.05	0.15	5	90	180	none	0
7T	1H	brain	Lac	Lac	1.3	0.15	5	45	180	none	0
											
3T	1H	brain	Unknown	10.9ppm	10.9	0.08	10	130	100	none	0
3T	1H	brain	Unknown	10.3ppm	10.3	0.08	10	130	100	none	0
3T	1H	brain	TRYP	TRYP	10.1	0.05	10	120	180	none	0
3T	1H	brain	NR/NMN	NR/NMN	9.75	0.1	10	120	100	none	0
3T	1H	brain	NAD+	NAD+ H2	9.35	0.09	8	90	180	none	0
3T	1H	brain	NAD+	NAD+ H6	9.172	0.09	8	90	180	none	0
3T	1H	brain	NAD+	NAD+ H4	8.84	0.15	8	90	180	none	0
3T	1H	brain	ATP/NAA	ATP2	8.44	0.15	15	90	180	none	0
3T	1H	brain	ATP/NAA	ATP1	8.2	0.3	15	90	180	none	0
3T	1H	brain	ATP/NAA	NAA	7.86	0.3	15	90	180	none	0
3T	1H	brain	HCarn8	HCarn8	8.06	0.3	10	170	180	none	0
3T	1H	brain	HCarn7	HCarn7	7.06	0.3	10	170	180	none	0
3T	1H	brain	Water	Water	4.7	0.3	5	90	180	none	0
3T	1H	brain	Cho	Cho	3.24	0.08	5	90	180	none	0
3T	1H	brain	Cr	Cre	3.02	0.1	5	90	180	none	0
3T	1H	brain	NAA	NAA	2.05	0.15	5	90	180	none	0
3T	1H	brain	Lac	Lac	1.3	0.15	5	90	180	none	0
											
3T/7T	1H	skeletal muscle/cardiac muscle	Unknown 10ppm	10.9ppm	10.9	0.08	10	160	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	Unknown 10ppm	10.3ppm	10.3	0.08	10	160	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	TRYP	TRYP	10.3	0.14	10	120	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	NR/NMN	NR/NMN	9.75	0.1	10	120	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	NAD+	NAD+ H2	9.35	0.09	15	90	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	NAD+	NAD+ H6	9.172	0.09	14	90	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	NAD+	NAD+ H4	8.84	0.09	14	90	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	ATP/Carn	ATP2	8.176	0.15	15	90	180	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	ATP/Carn	ATP1	8.44	0.1	15	90	100	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	ATP/Carn	Carnosine	7.95	0.1	15	90	180	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	Carn8	Carn8	7.99	0.09	10	170	180	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	Carn7	Carn7	7.05	0.09	10	170	180	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	Lipid	Lipid	5.53	0.2	15	90	180	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	Water	Water	4.7	0.8	5	400	180	none	0
3T/7T	1H	skeletal muscle/cardiac muscle	Creatine	Creatine	3	0.2	5	400	180	none	0
											
3T/7T	1H	phantom	Unknown	10.9ppm	10.9	0.08	10	130	100	none	0
3T/7T	1H	phantom	Unknown	10.3ppm	10.3	0.08	10	130	100	none	0
3T/7T	1H	phantom	Unknown	10.1ppm	10.1	0.08	10	130	100	none	0
3T/7T	1H	phantom	TRYP	TRYP	10	0.14	10	120	100	none	0
3T/7T	1H	phantom	NR/NMN	NR/NMN	9.75	0.1	10	120	100	none	0
3T/7T	1H	phantom	NAD+	NAD+ H2	9.35	0.09	15	90	100	none	0
3T/7T	1H	phantom	NAD+	NAD+ H6	9.172	0.09	14	90	100	none	0
3T/7T	1H	phantom	NAD+	NAD+ H4	8.84	0.09	14	90	100	none	0
3T/7T	1H	phantom	ATP	ATP2	8.176	0.1	15	90	100	none	0
3T/7T	1H	phantom	ATP	ATP1	8.44	0.1	15	90	100	none	0
3T/7T	1H	phantom	ATP	Carnosine	7.95	0.1	15	90	100	none	0
3T/7T	1H	phantom	Water	Water	4.7	0.8	5	400	180	none	0
											
7T	31P	skeletal muscle/cardiac muscle	PME	PME	6.5	0.5	15	130	180	none	0
7T	31P	skeletal muscle/cardiac muscle	Pi	Pi	4.84	0.5	15	90	180	none	0
7T	31P	skeletal muscle/cardiac muscle	GPC	GPC	3	0.5	15	90	180	none	0
7T	31P	skeletal muscle/cardiac muscle	PCr	PCr	0	0.5	15	90	180	none	0
7T	31P	skeletal muscle/cardiac muscle	ATP	g-ATP	-2.4	0.5	15	90	180	none	0
